"id","maintenanceNumber","truckId","excavatorId","supportEquipmentId","maintenanceType","scheduledDate","actualDate","completionDate","duration","cost","description","partsReplaced","mechanicName","status","downtimeHours","remarks","createdAt","updatedAt"
"cmifyj1zt0bge2o7gpzzbmhe3","MNT-000037",,"cmifyiwqj05ed2o7gzsxji2ie",,"CORRECTIVE","2025-10-08T12:04:40.731Z","2025-10-11T12:04:40.731Z",,,,"Maintenance PREVENTIVE 37",,"Rudi","IN_PROGRESS",0,,"2025-11-26T12:04:40.793Z","2025-11-26T12:04:40.793Z"
"cmifyj1zu0bgg2o7gf3moyae7","MNT-000038","cmifyiw0v04i42o7g3ctv5z00",,,"CORRECTIVE","2025-10-20T12:04:40.731Z","2025-10-23T12:04:40.731Z",,,,"Maintenance OVERHAUL 38",,"Rudi","CANCELLED",0,,"2025-11-26T12:04:40.795Z","2025-11-26T12:04:40.795Z"
"cmifyj1zw0bgi2o7grx8fltjw","MNT-000039","cmifyiw0w04i62o7gboieugnb",,,"PREVENTIVE","2025-11-20T12:04:40.731Z","2025-11-23T12:04:40.731Z","2025-11-25T11:04:40.731Z",47,28843383.02050805,"Maintenance CORRECTIVE 39","{""parts"":""Ban"",""quantity"":2}","Budi","COMPLETED",47,,"2025-11-26T12:04:40.796Z","2025-11-26T12:04:40.796Z"
"cmifyj1zy0bgk2o7guj4riwyf","MNT-000040","cmifyiw0y04i82o7g40mwpbrp",,,"INSPECTION","2025-09-17T12:04:40.731Z","2025-09-20T12:04:40.731Z",,,,"Maintenance PREVENTIVE 40",,"Rudi","IN_PROGRESS",0,,"2025-11-26T12:04:40.798Z","2025-11-26T12:04:40.798Z"
"cmifyj1zz0bgm2o7gyj2w1a05","MNT-000041","cmifyiw0z04ia2o7g0t6xp4hn",,,"PREVENTIVE",,"2025-11-23T12:04:40.731Z",,,,"Maintenance OVERHAUL 41",,"Dedi","SCHEDULED",0,,"2025-11-26T12:04:40.800Z","2025-11-26T12:04:40.800Z"
"cmifyj2010bgo2o7gbjtbj1n5","MNT-000042",,"cmifyiwqp05ei2o7gx9v9hb7o",,"PREVENTIVE","2025-10-13T12:04:40.731Z","2025-10-16T12:04:40.731Z",,,,"Maintenance INSPECTION 42",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.801Z","2025-11-26T12:04:40.801Z"
"cmifyj2020bgq2o7g2e3g8b13","MNT-000043",,,"cmifyixbi05v72o7g7qhk78oq","PREDICTIVE","2025-11-02T12:04:40.731Z","2025-11-05T12:04:40.731Z",,,,"Maintenance OVERHAUL 43",,"Dedi","IN_PROGRESS",0,,"2025-11-26T12:04:40.803Z","2025-11-26T12:04:40.803Z"
"cmifyj2040bgs2o7g6him7cgm","MNT-000044",,"cmifyiwqs05ek2o7gh1rjp8hi",,"PREDICTIVE","2025-10-08T12:04:40.731Z","2025-10-11T12:04:40.731Z","2025-10-12T12:04:40.731Z",24,47920906.81887052,"Maintenance PREVENTIVE 44","{""parts"":""Ban"",""quantity"":4}","Budi","COMPLETED",24,,"2025-11-26T12:04:40.805Z","2025-11-26T12:04:40.805Z"
"cmifyj2070bgu2o7guho2nvjw","MNT-000045","cmifyiw1504ii2o7gz9tj4lzn",,,"CORRECTIVE",,"2025-09-07T12:04:40.731Z",,,,"Maintenance PREDICTIVE 45",,"Agus","IN_PROGRESS",0,,"2025-11-26T12:04:40.807Z","2025-11-26T12:04:40.807Z"
"cmifyj20a0bgw2o7gxp7e67qa","MNT-000046",,,"cmifyixbl05va2o7gupaio6on","PREDICTIVE","2025-10-07T12:04:40.731Z","2025-10-10T12:04:40.731Z",,,,"Maintenance PREDICTIVE 46",,"Dedi","SCHEDULED",0,,"2025-11-26T12:04:40.810Z","2025-11-26T12:04:40.810Z"
"cmifyj20c0bgy2o7g8e8drhlo","MNT-000047","cmifyiw1804im2o7gansi9b89",,,"PREDICTIVE","2025-09-12T12:04:40.731Z","2025-09-15T12:04:40.731Z",,,,"Maintenance OVERHAUL 47",,"Agus","CANCELLED",0,,"2025-11-26T12:04:40.812Z","2025-11-26T12:04:40.812Z"
"cmifyj20d0bh02o7gzlz8716o","MNT-000048",,"cmifyiwqx05eo2o7gdhxho38w",,"OVERHAUL","2025-10-30T12:04:40.731Z","2025-11-02T12:04:40.731Z",,,,"Maintenance CORRECTIVE 48",,"Dedi","SCHEDULED",0,,"2025-11-26T12:04:40.814Z","2025-11-26T12:04:40.814Z"
"cmifyj20f0bh22o7ghxqkdwq0","MNT-000049",,"cmifyiwqy05ep2o7g4kbhlexy",,"CORRECTIVE","2025-11-11T12:04:40.731Z","2025-11-14T12:04:40.731Z",,,,"Maintenance PREVENTIVE 49",,"Dedi","IN_PROGRESS",0,,"2025-11-26T12:04:40.815Z","2025-11-26T12:04:40.815Z"
"cmifyj20g0bh42o7gt8yqjgtz","MNT-000050",,"cmifyiwr005eq2o7gve1g6ynf",,"PREVENTIVE","2025-11-02T12:04:40.731Z","2025-11-05T12:04:40.731Z",,,,"Maintenance CORRECTIVE 50",,"Budi","IN_PROGRESS",0,,"2025-11-26T12:04:40.817Z","2025-11-26T12:04:40.817Z"
"cmifyj20i0bh62o7gklg1pigu","MNT-000051","cmifyiw1f04iu2o7gifrt069m",,,"CORRECTIVE",,"2025-11-03T12:04:40.731Z","2025-11-05T10:04:40.731Z",46,17969680.32872129,"Maintenance PREDICTIVE 51","{""parts"":""Filter Oli"",""quantity"":4}","Dedi","COMPLETED",46,,"2025-11-26T12:04:40.818Z","2025-11-26T12:04:40.818Z"
"cmifyj20k0bh82o7gkix8oxuy","MNT-000052","cmifyiw1g04iw2o7gdbums3tz",,,"INSPECTION","2025-10-01T12:04:40.731Z","2025-10-04T12:04:40.731Z",,,,"Maintenance CORRECTIVE 52",,"Budi","CANCELLED",0,,"2025-11-26T12:04:40.820Z","2025-11-26T12:04:40.820Z"
"cmifyj20m0bha2o7gufqh6i7m","MNT-000053",,,"cmifyixbu05vh2o7gie3hwp4g","CORRECTIVE","2025-08-27T12:04:40.731Z","2025-08-30T12:04:40.731Z",,,,"Maintenance CORRECTIVE 53",,"Agus","IN_PROGRESS",0,,"2025-11-26T12:04:40.822Z","2025-11-26T12:04:40.822Z"
"cmifyj20n0bhc2o7gmg677m6v","MNT-000054","cmifyiw1j04j02o7g909fdfbc",,,"CORRECTIVE",,"2025-09-20T12:04:40.731Z","2025-09-22T04:04:40.731Z",40,19738825.42422555,"Maintenance PREVENTIVE 54","{""parts"":""Brake Pad"",""quantity"":2}","Rudi","COMPLETED",40,,"2025-11-26T12:04:40.824Z","2025-11-26T12:04:40.824Z"
"cmifyj20p0bhe2o7g96z5j8ej","MNT-000055",,,"cmifyixbw05vj2o7gkdtg6bcw","INSPECTION",,"2025-09-04T12:04:40.731Z",,,,"Maintenance CORRECTIVE 55",,"Rudi","IN_PROGRESS",0,,"2025-11-26T12:04:40.825Z","2025-11-26T12:04:40.825Z"
"cmifyj20q0bhg2o7govvnegmm","MNT-000056","cmifyiw1m04j42o7gu1je3sz1",,,"INSPECTION","2025-10-09T12:04:40.731Z","2025-10-12T12:04:40.731Z",,,,"Maintenance PREDICTIVE 56",,"Budi","CANCELLED",0,,"2025-11-26T12:04:40.826Z","2025-11-26T12:04:40.826Z"
"cmifyj20r0bhi2o7gy5wgx0xm","MNT-000057","cmifyiw1o04j62o7gntq29wg0",,,"CORRECTIVE","2025-10-11T12:04:40.731Z","2025-10-14T12:04:40.731Z","2025-10-15T17:04:40.731Z",29,38451649.6679973,"Maintenance CORRECTIVE 57","{""parts"":""Ban"",""quantity"":1}","Agus","COMPLETED",29,,"2025-11-26T12:04:40.828Z","2025-11-26T12:04:40.828Z"
"cmifyj20t0bhk2o7g4b0zrigf","MNT-000058",,"cmifyiwra05ey2o7gztw31saw",,"PREDICTIVE",,"2025-11-20T12:04:40.731Z",,,,"Maintenance PREDICTIVE 58",,"Budi","SCHEDULED",0,,"2025-11-26T12:04:40.829Z","2025-11-26T12:04:40.829Z"
"cmifyj20u0bhm2o7gqw1c8iot","MNT-000059",,"cmifyiwrb05ez2o7gl71r0ztr",,"OVERHAUL","2025-11-19T12:04:40.731Z","2025-11-22T12:04:40.731Z",,,,"Maintenance PREVENTIVE 59",,"Rudi","CANCELLED",0,,"2025-11-26T12:04:40.831Z","2025-11-26T12:04:40.831Z"
"cmifyj20w0bho2o7gr93p7i4b","MNT-000060",,,"cmifyixc005vo2o7g4q3eq6fk","CORRECTIVE",,"2025-10-05T12:04:40.731Z",,,,"Maintenance PREVENTIVE 60",,"Budi","SCHEDULED",0,,"2025-11-26T12:04:40.832Z","2025-11-26T12:04:40.832Z"
"cmifyj20x0bhq2o7gho601pia","MNT-000061",,"cmifyiwre05f12o7gaz2o4gmm",,"OVERHAUL",,"2025-10-01T12:04:40.731Z",,,,"Maintenance OVERHAUL 61",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.834Z","2025-11-26T12:04:40.834Z"
"cmifyj20z0bhs2o7gj35nof34","MNT-000062","cmifyiw1w04jg2o7gudagsbtz",,,"INSPECTION","2025-11-14T12:04:40.731Z","2025-11-17T12:04:40.731Z",,,,"Maintenance PREVENTIVE 62",,"Agus","SCHEDULED",0,,"2025-11-26T12:04:40.835Z","2025-11-26T12:04:40.835Z"
"cmifyj2110bhu2o7gktufam7u","MNT-000063",,"cmifyiwrg05f32o7gs0vzl8mv",,"CORRECTIVE",,"2025-09-25T12:04:40.731Z","2025-09-26T19:04:40.731Z",31,20060026.29024943,"Maintenance PREDICTIVE 63","{""parts"":""Filter Oli"",""quantity"":4}","Agus","COMPLETED",31,,"2025-11-26T12:04:40.837Z","2025-11-26T12:04:40.837Z"
"cmifyj2120bhw2o7goue17098","MNT-000064",,"cmifyiwri05f42o7g94z4ovb0",,"PREVENTIVE","2025-10-03T12:04:40.731Z","2025-10-06T12:04:40.731Z",,,,"Maintenance INSPECTION 64",,"Rudi","CANCELLED",0,,"2025-11-26T12:04:40.839Z","2025-11-26T12:04:40.839Z"
"cmifyj2140bhy2o7gc4166hlz","MNT-000065",,"cmifyiwrj05f52o7ghs2u3nve",,"OVERHAUL","2025-10-27T12:04:40.731Z","2025-10-30T12:04:40.731Z",,,,"Maintenance OVERHAUL 65",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.840Z","2025-11-26T12:04:40.840Z"
"cmifyj2160bi02o7giewdh9gw","MNT-000066","cmifyiw2204jo2o7gd38wdzl8",,,"PREVENTIVE","2025-10-27T12:04:40.731Z","2025-10-30T12:04:40.731Z",,,,"Maintenance INSPECTION 66",,"Rudi","CANCELLED",0,,"2025-11-26T12:04:40.842Z","2025-11-26T12:04:40.842Z"
"cmifyj2170bi22o7gvpv44lp6","MNT-000067","cmifyiw2304jq2o7g8liatkar",,,"INSPECTION","2025-09-09T12:04:40.731Z","2025-09-12T12:04:40.731Z","2025-09-12T16:04:40.731Z",4,41735331.91811068,"Maintenance CORRECTIVE 67","{""parts"":""Ban"",""quantity"":1}","Agus","COMPLETED",4,,"2025-11-26T12:04:40.844Z","2025-11-26T12:04:40.844Z"
"cmifyj2190bi42o7gb1opol44","MNT-000068","cmifyiw2504js2o7gupwf20dh",,,"CORRECTIVE","2025-09-14T12:04:40.731Z","2025-09-17T12:04:40.731Z","2025-09-19T07:04:40.731Z",43,47080426.86858974,"Maintenance OVERHAUL 68","{""parts"":""Brake Pad"",""quantity"":3}","Agus","COMPLETED",43,,"2025-11-26T12:04:40.845Z","2025-11-26T12:04:40.845Z"
"cmifyj21a0bi62o7g04mmdohl","MNT-000069","cmifyiw2604ju2o7gk6m5tx2g",,,"PREDICTIVE",,"2025-09-09T12:04:40.731Z",,,,"Maintenance OVERHAUL 69",,"Rudi","IN_PROGRESS",0,,"2025-11-26T12:04:40.847Z","2025-11-26T12:04:40.847Z"
"cmifyj21c0bi82o7gvo2lokhz","MNT-000070","cmifyiw2804jw2o7gnyo3updg",,,"CORRECTIVE","2025-08-29T12:04:40.731Z","2025-09-01T12:04:40.731Z",,,,"Maintenance PREVENTIVE 70",,"Agus","IN_PROGRESS",0,,"2025-11-26T12:04:40.848Z","2025-11-26T12:04:40.848Z"
"cmifyj21d0bia2o7g96qovmjp","MNT-000071",,"cmifyiwrr05fb2o7gdzm1mu8q",,"CORRECTIVE","2025-10-26T12:04:40.731Z","2025-10-29T12:04:40.731Z",,,,"Maintenance OVERHAUL 71",,"Rudi","SCHEDULED",0,,"2025-11-26T12:04:40.850Z","2025-11-26T12:04:40.850Z"
"cmifyj21f0bic2o7gfggemdbi","MNT-000072","cmifyiw2b04k02o7g2optesc7",,,"PREDICTIVE","2025-10-28T12:04:40.731Z","2025-10-31T12:04:40.731Z","2025-11-02T01:04:40.731Z",37,14585804.71473742,"Maintenance PREVENTIVE 72","{""parts"":""Brake Pad"",""quantity"":4}","Rudi","COMPLETED",37,,"2025-11-26T12:04:40.851Z","2025-11-26T12:04:40.851Z"
"cmifyj21g0bie2o7gts432z5j","MNT-000073","cmifyiw2d04k22o7gu1j0cdwz",,,"CORRECTIVE","2025-11-15T12:04:40.731Z","2025-11-18T12:04:40.731Z",,,,"Maintenance OVERHAUL 73",,"Dedi","SCHEDULED",0,,"2025-11-26T12:04:40.853Z","2025-11-26T12:04:40.853Z"
"cmifyj21i0big2o7gp7v64511","MNT-000074","cmifyiw2e04k42o7g7ciearu4",,,"INSPECTION","2025-10-29T12:04:40.731Z","2025-11-01T12:04:40.731Z",,,,"Maintenance OVERHAUL 74",,"Rudi","IN_PROGRESS",0,,"2025-11-26T12:04:40.855Z","2025-11-26T12:04:40.855Z"
"cmifyj21k0bii2o7grik10o5i","MNT-000075",,,"cmifyixcg05w32o7gcx3euwiw","INSPECTION","2025-10-08T12:04:40.731Z","2025-10-11T12:04:40.731Z",,,,"Maintenance CORRECTIVE 75",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.856Z","2025-11-26T12:04:40.856Z"
"cmifyj21m0bik2o7gr112kqak","MNT-000076","cmifyiw2h04k82o7gyi9csiyw",,,"INSPECTION",,"2025-11-14T12:04:40.731Z",,,,"Maintenance CORRECTIVE 76",,"Budi","CANCELLED",0,,"2025-11-26T12:04:40.858Z","2025-11-26T12:04:40.858Z"
"cmifyj21n0bim2o7gggqzrz2p","MNT-000077",,,"cmifyixci05w52o7gxqs72nk3","INSPECTION",,"2025-10-01T12:04:40.731Z","2025-10-01T23:04:40.731Z",11,41591984.71072369,"Maintenance INSPECTION 77","{""parts"":""Brake Pad"",""quantity"":1}","Budi","COMPLETED",11,,"2025-11-26T12:04:40.860Z","2025-11-26T12:04:40.860Z"
"cmifyj21p0bio2o7ghhfajqck","MNT-000078",,,"cmifyixcj05w62o7glgzok3na","INSPECTION","2025-10-03T12:04:40.731Z","2025-10-06T12:04:40.731Z",,,,"Maintenance INSPECTION 78",,"Agus","CANCELLED",0,,"2025-11-26T12:04:40.861Z","2025-11-26T12:04:40.861Z"
