"id","scheduleNumber","vesselId","voyageNumber","loadingPort","destination","etaLoading","etsLoading","etaDestination","ataLoading","loadingStart","loadingComplete","atsLoading","ataDestination","plannedQuantity","actualQuantity","buyer","contractNumber","status","remarks","createdAt","updatedAt"
"cmifyiyrw078m2o7gdqqzdvhl","SCH-0000011","cmifyixs206az2o7g8ntz9dbl","VY-00011","Sangatta","Paiton","2025-09-29T12:04:36.598Z","2025-09-30T06:04:33.649Z","2025-10-03T15:31:19.266Z","2025-09-29T14:00:35.325Z",,,"2025-09-30T06:17:56.502Z","2025-10-03T17:11:58.553Z",14195.47193230701,13752.12569739826,"PLN","CN-7852","LOADING",,"2025-11-26T12:04:36.620Z","2025-11-26T12:04:36.620Z"
"cmifyiyrx078o2o7gklro8aqr","SCH-0000012","cmifyixs306b02o7ggs7tf39p","VY-00012","Muara Pantai","Cilacap","2025-11-12T12:04:36.598Z","2025-11-13T01:10:35.975Z","2025-11-14T19:48:28.048Z","2025-11-12T11:08:41.454Z",,"2025-11-13T01:10:35.975Z",,,7649.761173801718,,"PT Petrokimia","CN-6210","CANCELLED",,"2025-11-26T12:04:36.622Z","2025-11-26T12:04:36.622Z"
"cmifyiyrz078q2o7gzhku0pa3","SCH-0000013","cmifyixs406b12o7g95yxzmym","VY-00013","Sangatta","Suralaya","2025-11-16T12:04:36.598Z","2025-11-16T22:12:32.854Z","2025-11-20T13:28:48.933Z","2025-11-16T12:46:59.178Z","2025-11-16T13:28:11.913Z",,"2025-11-16T21:53:16.591Z",,19180.27509986862,,"PT Semen Indonesia","CN-3717","DISCHARGING",,"2025-11-26T12:04:36.623Z","2025-11-26T12:04:36.623Z"
"cmifyiys0078s2o7gaeg0bk8o","SCH-0000014","cmifyixs506b22o7g41bkc516","VY-00014","Kariangau","Gresik","2025-10-25T12:04:36.598Z","2025-10-26T01:58:31.456Z","2025-10-27T04:07:49.923Z","2025-10-25T13:39:19.100Z","2025-10-25T12:54:52.565Z","2025-10-26T01:58:31.456Z",,"2025-10-27T04:45:49.650Z",8752.41275848147,,"PT Pupuk Indonesia","CN-7314","SAILING",,"2025-11-26T12:04:36.625Z","2025-11-26T12:04:36.625Z"
"cmifyiys2078u2o7gnxcbdkde","SCH-0000015","cmifyixs606b32o7gd5wkprww","VY-00015","Muara Pantai","Suralaya","2025-10-01T12:04:36.598Z","2025-10-02T06:41:16.212Z","2025-10-05T16:36:41.419Z","2025-10-01T11:26:20.755Z",,"2025-10-02T06:41:16.212Z",,,11499.00861062897,,"PT Steel Indonesia","CN-4999","ARRIVED",,"2025-11-26T12:04:36.626Z","2025-11-26T12:04:36.626Z"
"cmifyiys3078w2o7g1p7zy6h3","SCH-0000016","cmifyixs706b42o7gbyhqvfz3","VY-00016","Tanjung Bara","Merak","2025-11-15T12:04:36.598Z","2025-11-16T00:36:45.673Z","2025-11-17T03:47:00.660Z",,,,"2025-11-16T01:01:57.893Z",,12111.25661600494,11853.37410762304,"PT Semen Indonesia","CN-2640","COMPLETED",,"2025-11-26T12:04:36.628Z","2025-11-26T12:04:36.628Z"
"cmifyiys5078y2o7g22kfdlxu","SCH-0000017","cmifyixs906b52o7ghqnkpwdk","VY-00017","Sangatta","Lontar","2025-10-18T12:04:36.598Z","2025-10-19T01:47:59.583Z","2025-10-20T08:01:09.277Z","2025-10-18T11:44:29.742Z","2025-10-18T13:53:03.171Z","2025-10-19T01:47:59.583Z","2025-10-19T01:23:47.951Z",,12616.0877597363,12733.47156921137,"PT Steel Indonesia","CN-4744","DISCHARGING",,"2025-11-26T12:04:36.629Z","2025-11-26T12:04:36.629Z"
"cmifyiys607902o7gx9zeo9qs","SCH-0000018","cmifyixsa06b62o7g8iaplo5p","VY-00018","Muara Pantai","Lontar","2025-10-13T12:04:36.598Z","2025-10-14T03:50:37.966Z","2025-10-15T12:11:55.836Z","2025-10-13T13:06:56.415Z",,"2025-10-14T03:50:37.966Z",,"2025-10-15T12:31:10.850Z",15025.61722159421,15101.39208291133,"PT Steel Indonesia","CN-4911","SCHEDULED",,"2025-11-26T12:04:36.631Z","2025-11-26T12:04:36.631Z"
"cmifyiys807922o7gxbfjev23","SCH-0000019","cmifyixsc06b72o7gwh8lhhb6","VY-00019","Tanjung Bara","Lontar","2025-11-19T12:04:36.598Z","2025-11-20T06:50:24.302Z","2025-11-21T21:43:03.312Z","2025-11-19T10:43:55.625Z","2025-11-19T13:03:20.185Z",,,"2025-11-21T23:46:41.682Z",13134.0791622797,12633.7135750961,"PT Petrokimia","CN-2519","DISCHARGING",,"2025-11-26T12:04:36.632Z","2025-11-26T12:04:36.632Z"
"cmifyiys907942o7gdxlr14m6","SCH-0000020","cmifyixsd06b82o7gu6b50i06","VY-00020","Samarinda","Tanjung Priok","2025-11-22T12:04:36.598Z","2025-11-23T02:52:51.144Z","2025-11-27T01:20:11.463Z",,"2025-11-22T14:04:21.055Z","2025-11-23T02:52:51.144Z","2025-11-23T02:14:16.675Z",,17344.06068898893,,"PLN","CN-4902","LOADING",,"2025-11-26T12:04:36.634Z","2025-11-26T12:04:36.634Z"
"cmifyiysb07962o7gxgwmmbfc","SCH-0000021","cmifyixse06b92o7g9pvavhzf","VY-00021","Tanjung Bara","Merak","2025-10-19T12:04:36.598Z","2025-10-19T21:32:43.355Z","2025-10-23T05:29:58.526Z","2025-10-19T13:40:19.736Z","2025-10-19T12:33:47.167Z","2025-10-19T21:32:43.355Z","2025-10-19T21:16:04.565Z",,7289.074173271216,7387.439539797976,"PT Petrokimia","CN-1892","CANCELLED",,"2025-11-26T12:04:36.635Z","2025-11-26T12:04:36.635Z"
"cmifyiysd07982o7g6nps2s50","SCH-0000022","cmifyixsf06ba2o7go2wz293y","VY-00022","Samarinda","Suralaya","2025-10-07T12:04:36.598Z","2025-10-07T23:18:38.981Z","2025-10-10T22:07:38.061Z","2025-10-07T13:26:13.190Z","2025-10-07T13:21:24.053Z",,"2025-10-07T22:53:45.005Z",,9709.017079738196,,"PT Steel Indonesia","CN-3265","SCHEDULED",,"2025-11-26T12:04:36.637Z","2025-11-26T12:04:36.637Z"
"cmifyiyse079a2o7g3himzkw2","SCH-0000023","cmifyixsg06bb2o7ganewnkau","VY-00023","Sangatta","Tanjung Priok","2025-11-05T12:04:36.598Z","2025-11-06T01:42:41.184Z","2025-11-07T08:06:39.393Z","2025-11-05T12:32:37.754Z",,"2025-11-06T01:42:41.184Z","2025-11-06T00:56:50.784Z","2025-11-07T05:39:27.094Z",20099.37141385492,,"PT Petrokimia","CN-6009","SCHEDULED",,"2025-11-26T12:04:36.639Z","2025-11-26T12:04:36.639Z"
"cmifyiysg079c2o7gjyjnpl8n","SCH-0000024","cmifyixsh06bc2o7gwkp08tik","VY-00024","Muara Pantai","Gresik","2025-10-06T12:04:36.598Z","2025-10-07T06:45:57.362Z","2025-10-09T11:40:16.273Z",,"2025-10-06T13:22:57.388Z",,"2025-10-07T06:17:56.841Z","2025-10-09T12:46:54.924Z",15050.24681184974,14464.90241801528,"PLN","CN-9805","COMPLETED",,"2025-11-26T12:04:36.640Z","2025-11-26T12:04:36.640Z"
"cmifyiysh079e2o7gvhmjtmub","SCH-0000025","cmifyixsj06bd2o7geoy1p9xa","VY-00025","Banjarmasin","Cilacap","2025-10-03T12:04:36.598Z","2025-10-04T09:06:04.590Z","2025-10-07T20:23:14.445Z",,"2025-10-03T14:01:56.900Z","2025-10-04T09:06:04.590Z","2025-10-04T09:31:57.094Z","2025-10-07T17:41:09.632Z",15933.05173051888,,"PT Pupuk Indonesia","CN-7243","LOADING",,"2025-11-26T12:04:36.642Z","2025-11-26T12:04:36.642Z"
"cmifyiysj079g2o7g9g3iji9l","SCH-0000026","cmifyixsk06be2o7gbbllffjp","VY-00026","Samarinda","Tanjung Priok","2025-10-21T12:04:36.598Z","2025-10-22T08:08:26.109Z","2025-10-25T08:37:18.699Z","2025-10-21T10:35:30.314Z","2025-10-21T12:25:01.367Z",,,"2025-10-25T06:51:09.202Z",13443.1186844303,13413.7433269648,"PT Petrokimia","CN-9117","ARRIVED",,"2025-11-26T12:04:36.643Z","2025-11-26T12:04:36.643Z"
"cmifyiysk079i2o7ggzawl7pe","SCH-0000027","cmifyixsl06bf2o7geushy1oi","VY-00027","Muara Pantai","Cilacap","2025-10-28T12:04:36.598Z","2025-10-29T03:46:32.430Z","2025-10-31T12:49:42.019Z",,,,,"2025-10-31T13:12:23.207Z",18029.16205838861,,"PT Semen Indonesia","CN-9786","STANDBY",,"2025-11-26T12:04:36.645Z","2025-11-26T12:04:36.645Z"
"cmifyiysm079k2o7g9y4li2cd","SCH-0000028","cmifyixsm06bg2o7gyku7z7pg","VY-00028","Muara Pantai","Gresik","2025-11-24T12:04:36.598Z","2025-11-25T01:18:53.356Z","2025-11-28T18:36:31.858Z","2025-11-24T11:29:47.524Z","2025-11-24T13:01:49.463Z",,"2025-11-25T00:34:39.983Z","2025-11-28T20:46:39.844Z",14876.5984759635,,"PT Steel Indonesia","CN-1809","COMPLETED",,"2025-11-26T12:04:36.646Z","2025-11-26T12:04:36.646Z"
"cmifyiysn079m2o7ga5wqfucx","SCH-0000029","cmifyixsn06bh2o7gl36f10vf","VY-00029","Balikpapan","Suralaya","2025-10-03T12:04:36.598Z","2025-10-04T00:24:12.996Z","2025-10-05T05:13:09.515Z","2025-10-03T10:39:38.297Z",,,"2025-10-03T23:28:58.384Z","2025-10-05T03:30:34.163Z",10437.1341603647,,"PT Petrokimia","CN-8760","SCHEDULED",,"2025-11-26T12:04:36.648Z","2025-11-26T12:04:36.648Z"
"cmifyiysp079o2o7ghulyov9w","SCH-0000030","cmifyixsp06bi2o7gkj4qf8r2","VY-00030","Balikpapan","Tanjung Priok","2025-10-28T12:04:36.598Z","2025-10-28T20:20:15.856Z","2025-10-30T04:24:12.321Z","2025-10-28T13:41:02.655Z","2025-10-28T13:34:34.912Z",,,"2025-10-30T05:54:32.361Z",13013.86322965155,,"PLN","CN-8591","STANDBY",,"2025-11-26T12:04:36.649Z","2025-11-26T12:04:36.649Z"
"cmifyiysq079q2o7gox763yie","SCH-0000031","cmifyixsq06bj2o7g328fncuz","VY-00031","Tarakan","Suralaya","2025-11-05T12:04:36.598Z","2025-11-06T05:40:08.460Z","2025-11-09T21:59:03.959Z","2025-11-05T10:42:18.802Z",,,,,8175.645554362498,7970.821643560757,"PLN","CN-6613","SAILING",,"2025-11-26T12:04:36.651Z","2025-11-26T12:04:36.651Z"
"cmifyiyss079s2o7gr56sinao","SCH-0000032","cmifyixss06bk2o7go65mywmq","VY-00032","Kariangau","Tanjung Priok","2025-10-10T12:04:36.598Z","2025-10-11T08:07:02.217Z","2025-10-14T18:57:31.469Z","2025-10-10T13:40:36.111Z",,"2025-10-11T08:07:02.217Z","2025-10-11T09:04:12.774Z","2025-10-14T17:25:49.271Z",6591.206234003677,6709.003664149721,"PT Semen Indonesia","CN-4751","LOADING",,"2025-11-26T12:04:36.652Z","2025-11-26T12:04:36.652Z"
"cmifyiysu079u2o7g7sff9zff","SCH-0000033","cmifyixst06bl2o7gxlo9l4bt","VY-00033","Tanjung Bara","Gresik","2025-10-15T12:04:36.598Z","2025-10-16T01:17:33.926Z","2025-10-18T04:16:04.372Z","2025-10-15T11:01:03.230Z","2025-10-15T13:37:18.495Z","2025-10-16T01:17:33.926Z",,,9328.045621488027,9202.062586790762,"PT Petrokimia","CN-9678","DISCHARGING",,"2025-11-26T12:04:36.654Z","2025-11-26T12:04:36.654Z"
"cmifyiysv079w2o7gi9m303gm","SCH-0000034","cmifyixsu06bm2o7gmk9wqly2","VY-00034","Banjarmasin","Merak","2025-10-20T12:04:36.598Z","2025-10-21T05:20:32.028Z","2025-10-25T03:48:04.163Z","2025-10-20T10:19:50.144Z","2025-10-20T12:59:49.386Z",,"2025-10-21T05:40:27.679Z",,15341.9486592585,,"PT Steel Indonesia","CN-3987","ARRIVED",,"2025-11-26T12:04:36.656Z","2025-11-26T12:04:36.656Z"
"cmifyiysx079y2o7gx7b5ri6b","SCH-0000035","cmifyixsv06bn2o7g11wc0czm","VY-00035","Balikpapan","Cilacap","2025-11-05T12:04:36.598Z","2025-11-05T22:46:21.438Z","2025-11-08T02:52:09.040Z","2025-11-05T11:19:51.810Z",,"2025-11-05T22:46:21.438Z","2025-11-05T22:15:55.406Z","2025-11-08T02:14:06.532Z",10803.26172380251,,"PT Steel Indonesia","CN-2836","ARRIVED",,"2025-11-26T12:04:36.657Z","2025-11-26T12:04:36.657Z"
"cmifyiysy07a02o7gxrmvy7fs","SCH-0000036","cmifyixsw06bo2o7ghkhhjlha","VY-00036","Kariangau","Paiton","2025-11-01T12:04:36.598Z","2025-11-01T21:05:23.351Z","2025-11-04T05:19:10.019Z","2025-11-01T10:16:01.008Z","2025-11-01T12:19:45.003Z","2025-11-01T21:05:23.351Z","2025-11-01T20:31:08.311Z","2025-11-04T04:10:38.609Z",10906.48014780154,,"PT Petrokimia","CN-4358","CANCELLED",,"2025-11-26T12:04:36.659Z","2025-11-26T12:04:36.659Z"
"cmifyiyt007a22o7g51kbyofa","SCH-0000037","cmifyixsx06bp2o7gmrk1pptn","VY-00037","Tarakan","Gresik","2025-11-18T12:04:36.598Z","2025-11-19T02:32:34.833Z","2025-11-20T04:55:06.524Z","2025-11-18T12:55:50.912Z","2025-11-18T12:07:20.386Z","2025-11-19T02:32:34.833Z","2025-11-19T01:38:29.132Z",,8774.275356385104,8386.582139889153,"PT Steel Indonesia","CN-6041","LOADING",,"2025-11-26T12:04:36.660Z","2025-11-26T12:04:36.660Z"
"cmifyiyt107a42o7gldr200jl","SCH-0000038","cmifyixsz06bq2o7gjvceyet9","VY-00038","Samarinda","Suralaya","2025-10-16T12:04:36.598Z","2025-10-17T04:18:40.014Z","2025-10-19T03:22:03.214Z",,,,"2025-10-17T04:03:53.544Z",,13405.21653344687,13455.75729590216,"PT Pupuk Indonesia","CN-5844","COMPLETED",,"2025-11-26T12:04:36.662Z","2025-11-26T12:04:36.662Z"
"cmifyiyt307a62o7ge9xfp9va","SCH-0000039","cmifyixt006br2o7gq0s7318v","VY-00039","Kariangau","Tanjung Priok","2025-11-03T12:04:36.598Z","2025-11-04T04:57:25.763Z","2025-11-07T00:58:30.987Z","2025-11-03T12:26:00.046Z","2025-11-03T12:31:49.454Z","2025-11-04T04:57:25.763Z","2025-11-04T05:51:54.807Z","2025-11-07T01:00:18.362Z",9041.486316475291,,"PT Steel Indonesia","CN-1664","CANCELLED",,"2025-11-26T12:04:36.663Z","2025-11-26T12:04:36.663Z"
"cmifyiyt407a82o7g26do8p50","SCH-0000040","cmifyixt106bs2o7g4f78kdx2","VY-00040","Tanjung Bara","Suralaya","2025-10-11T12:04:36.598Z","2025-10-12T10:49:20.927Z","2025-10-15T22:47:45.767Z","2025-10-11T12:39:02.458Z","2025-10-11T12:14:50.340Z",,"2025-10-12T10:12:18.336Z",,14944.43414118736,14273.60989309336,"PT Petrokimia","CN-6553","CANCELLED",,"2025-11-26T12:04:36.665Z","2025-11-26T12:04:36.665Z"
"cmifyiyt607aa2o7g9tobyqfe","SCH-0000041","cmifyixt206bt2o7gg77q1o5s","VY-00041","Muara Pantai","Merak","2025-10-01T12:04:36.598Z","2025-10-02T07:43:14.477Z","2025-10-05T21:17:46.333Z",,"2025-10-01T13:33:45.608Z","2025-10-02T07:43:14.477Z","2025-10-02T08:28:05.830Z",,10617.3385052907,,"PT Steel Indonesia","CN-5912","CANCELLED",,"2025-11-26T12:04:36.666Z","2025-11-26T12:04:36.666Z"
"cmifyiyt707ac2o7g8b1w1vqw","SCH-0000042","cmifyixt306bu2o7ghakrwptq","VY-00042","Balikpapan","Lontar","2025-11-06T12:04:36.598Z","2025-11-07T02:12:02.786Z","2025-11-09T21:45:17.337Z","2025-11-06T13:23:00.949Z","2025-11-06T12:07:47.702Z","2025-11-07T02:12:02.786Z","2025-11-07T03:08:28.392Z","2025-11-09T20:44:02.858Z",13808.24965797093,,"PT Semen Indonesia","CN-5436","STANDBY",,"2025-11-26T12:04:36.668Z","2025-11-26T12:04:36.668Z"
"cmifyiyt907ae2o7gxkc39huc","SCH-0000043","cmifyixt506bv2o7g1tkhod77","VY-00043","Kariangau","Paiton","2025-10-18T12:04:36.598Z","2025-10-19T04:07:27.552Z","2025-10-21T18:09:40.596Z","2025-10-18T13:01:55.525Z","2025-10-18T13:40:58.133Z",,"2025-10-19T04:17:39.868Z","2025-10-21T20:22:25.607Z",9462.989167062282,9399.581781968003,"PT Steel Indonesia","CN-7073","SCHEDULED",,"2025-11-26T12:04:36.669Z","2025-11-26T12:04:36.669Z"
"cmifyiyta07ag2o7ge2n26wp3","SCH-0000044","cmifyixt606bw2o7gfx4clcfq","VY-00044","Kariangau","Suralaya","2025-10-06T12:04:36.598Z","2025-10-07T11:12:43.993Z","2025-10-09T13:41:30.536Z","2025-10-06T10:22:51.564Z",,,"2025-10-07T12:12:12.841Z",,14974.23149252646,15046.47508886988,"PT Petrokimia","CN-7586","CANCELLED",,"2025-11-26T12:04:36.671Z","2025-11-26T12:04:36.671Z"
"cmifyiytd07ai2o7gq52pckvw","SCH-0000045","cmifyixt706bx2o7gg82nq5fb","VY-00045","Balikpapan","Tanjung Priok","2025-10-08T12:04:36.598Z","2025-10-09T11:56:49.623Z","2025-10-12T08:31:40.658Z",,,"2025-10-09T11:56:49.623Z","2025-10-09T11:48:37.537Z","2025-10-12T10:01:55.446Z",17969.03668724098,17540.01420111923,"PT Pupuk Indonesia","CN-8110","SAILING",,"2025-11-26T12:04:36.673Z","2025-11-26T12:04:36.673Z"
"cmifyiytf07ak2o7g58lxg37x","SCH-0000046","cmifyixt906by2o7gf9jket17","VY-00046","Muara Pantai","Lontar","2025-10-03T12:04:36.598Z","2025-10-04T09:01:51.221Z","2025-10-06T03:16:57.131Z","2025-10-03T10:58:30.720Z",,,"2025-10-04T08:22:02.298Z",,13245.37293172694,13419.82439991016,"PT Pupuk Indonesia","CN-3861","ARRIVED",,"2025-11-26T12:04:36.675Z","2025-11-26T12:04:36.675Z"
"cmifyiytg07am2o7gjy24y1zq","SCH-0000047","cmifyixta06bz2o7g4gpsembr","VY-00047","Banjarmasin","Gresik","2025-11-20T12:04:36.598Z","2025-11-21T06:40:32.659Z","2025-11-24T02:59:34.769Z","2025-11-20T11:54:21.808Z","2025-11-20T12:08:55.858Z","2025-11-21T06:40:32.659Z",,,8263.659342952886,8157.736105627198,"PLN","CN-5606","SAILING",,"2025-11-26T12:04:36.676Z","2025-11-26T12:04:36.676Z"
"cmifyiyti07ao2o7gdsnr678d","SCH-0000048","cmifyixtb06c02o7gckzf86od","VY-00048","Kariangau","Suralaya","2025-10-13T12:04:36.598Z","2025-10-14T06:19:50.216Z","2025-10-17T21:03:59.291Z","2025-10-13T10:51:23.862Z","2025-10-13T12:08:12.867Z","2025-10-14T06:19:50.216Z","2025-10-14T07:03:27.328Z",,15121.42927956068,,"PT Pupuk Indonesia","CN-2975","DISCHARGING",,"2025-11-26T12:04:36.678Z","2025-11-26T12:04:36.678Z"
"cmifyiytj07aq2o7gjhyyoj30","SCH-0000049","cmifyixtc06c12o7gwp9kf3yp","VY-00049","Tarakan","Lontar","2025-10-11T12:04:36.598Z","2025-10-12T01:22:04.564Z","2025-10-14T17:12:49.535Z",,"2025-10-11T14:03:02.595Z",,,,17917.41728631995,17332.15023013312,"PT Pupuk Indonesia","CN-2357","SAILING",,"2025-11-26T12:04:36.679Z","2025-11-26T12:04:36.679Z"
"cmifyiytl07as2o7gt189kput","SCH-0000050","cmifyixtd06c22o7gtklr6ef4","VY-00050","Banjarmasin","Merak","2025-10-23T12:04:36.598Z","2025-10-24T03:14:03.071Z","2025-10-25T05:30:20.501Z",,"2025-10-23T13:51:15.088Z","2025-10-24T03:14:03.071Z","2025-10-24T04:10:35.999Z",,16289.53962441432,15940.09375069979,"PLN","CN-5461","LOADING",,"2025-11-26T12:04:36.681Z","2025-11-26T12:04:36.681Z"
"cmifyiytm07au2o7gh4nul9tq","SCH-0000051","cmifyixte06c32o7g9l8wivhc","VY-00051","Tanjung Bara","Tanjung Priok","2025-11-13T12:04:36.598Z","2025-11-13T22:15:54.759Z","2025-11-17T13:36:46.447Z",,"2025-11-13T12:32:21.711Z","2025-11-13T22:15:54.759Z","2025-11-13T21:35:30.400Z",,13086.42748492799,13178.19831852882,"PT Semen Indonesia","CN-4082","LOADING",,"2025-11-26T12:04:36.683Z","2025-11-26T12:04:36.683Z"
"cmifyiyto07aw2o7g9mkc0usv","SCH-0000052","cmifyixtf06c42o7gwrf975gh","VY-00052","Samarinda","Suralaya","2025-10-01T12:04:36.598Z","2025-10-02T11:29:29.039Z","2025-10-05T05:02:08.357Z","2025-10-01T10:14:44.131Z",,,,,15634.78307811654,15729.16187890942,"PT Petrokimia","CN-7051","DISCHARGING",,"2025-11-26T12:04:36.684Z","2025-11-26T12:04:36.684Z"
"cmifyiytp07ay2o7g4w4k1kqx","SCH-0000053","cmifyixtg06c52o7g9z1ocw3u","VY-00053","Muara Pantai","Tanjung Priok","2025-10-16T12:04:36.598Z","2025-10-17T11:55:23.724Z","2025-10-19T05:14:55.288Z","2025-10-16T10:07:49.488Z","2025-10-16T13:59:44.841Z",,,,9166.663164499012,,"PT Pupuk Indonesia","CN-2534","SAILING",,"2025-11-26T12:04:36.685Z","2025-11-26T12:04:36.685Z"
"cmifyiytr07b02o7gsmo906v8","SCH-0000054","cmifyixth06c62o7ggyq29izl","VY-00054","Samarinda","Lontar","2025-10-18T12:04:36.598Z","2025-10-19T10:05:33.638Z","2025-10-21T12:05:36.095Z",,"2025-10-18T13:56:14.032Z","2025-10-19T10:05:33.638Z","2025-10-19T09:58:37.795Z","2025-10-21T14:42:00.378Z",18437.76146367234,18093.75538311252,"PT Semen Indonesia","CN-4304","LOADING",,"2025-11-26T12:04:36.687Z","2025-11-26T12:04:36.687Z"
"cmifyiytt07b22o7g8t78d21g","SCH-0000055","cmifyixti06c72o7g0k7lqm6l","VY-00055","Tarakan","Lontar","2025-10-25T12:04:36.598Z","2025-10-26T03:08:39.668Z","2025-10-27T04:53:40.477Z","2025-10-25T10:21:00.208Z","2025-10-25T12:13:27.438Z",,,,10970.9567001106,,"PT Petrokimia","CN-7114","LOADING",,"2025-11-26T12:04:36.689Z","2025-11-26T12:04:36.689Z"
