"id","recommendationType","scenario","recommendations","selectedStrategy","selectedStrategyId","implementedAt","implementedBy","results","profitActual","profitPredicted","variance","feedback","createdAt","updatedAt"
"cmifyj7c60icy2o7gigslj1e8","OPERATIONAL","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":14,""targetProduction"":3731}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,34392359.72075382,,,"2025-11-26T12:04:47.718Z","2025-11-26T12:04:47.718Z"
"cmifyj7c80id02o7gmc11e1a2","OPERATIONAL","{""shift"":""PAGI"",""weather"":""CLOUDY"",""truckAvailable"":8,""targetProduction"":5125}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-11","2025-11-02T13:48:24.612Z","cmifyisie000b2o7gbnk2lgj8","{""efficiency"":0.9439241299912149,""production"":7068}",19468770.44423645,22909091.29125246,-15.01727328804899,,"2025-11-26T12:04:47.720Z","2025-11-26T12:04:47.720Z"
"cmifyj7ca0id22o7gv1x4qzyo","STRATEGIC","{""shift"":""PAGI"",""weather"":""SUNNY"",""truckAvailable"":9,""targetProduction"":6780}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-12","2025-11-20T08:08:18.830Z","cmifyisif000c2o7gpux040s1","{""efficiency"":0.906397997778958,""production"":5065}",14395649.65799919,16900738.14957924,-14.82236142237621,"Good recommendation, implemented successfully","2025-11-26T12:04:47.722Z","2025-11-26T12:04:47.722Z"
"cmifyj7cb0id42o7gtvrabfgx","OPERATIONAL","{""shift"":""PAGI"",""weather"":""SUNNY"",""truckAvailable"":12,""targetProduction"":6615}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,54007748.35164931,,,"2025-11-26T12:04:47.724Z","2025-11-26T12:04:47.724Z"
"cmifyj7cd0id62o7g61vq5eom","MAINTENANCE","{""shift"":""SIANG"",""weather"":""SUNNY"",""truckAvailable"":8,""targetProduction"":3772}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,33467754.40201872,,,"2025-11-26T12:04:47.725Z","2025-11-26T12:04:47.725Z"
"cmifyj7cf0id82o7gw45kswhb","STRATEGIC","{""shift"":""PAGI"",""weather"":""RAINY"",""truckAvailable"":11,""targetProduction"":5181}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-15","2025-10-05T02:50:18.522Z","cmifyisij000f2o7g82mzx62v","{""efficiency"":0.8581457932684413,""production"":5958}",57179011.33383361,51820131.7050713,10.34130839200061,,"2025-11-26T12:04:47.727Z","2025-11-26T12:04:47.727Z"
"cmifyj7cg0ida2o7gkfpfa2r2","MAINTENANCE","{""shift"":""MALAM"",""weather"":""CLOUDY"",""truckAvailable"":13,""targetProduction"":5811}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-16","2025-10-19T00:55:51.346Z","cmifyisil000g2o7gfsdxas3h","{""efficiency"":0.9411717767147216,""production"":3387}",17151613.51050217,14755046.65121056,16.24235365663847,,"2025-11-26T12:04:47.729Z","2025-11-26T12:04:47.729Z"
"cmifyj7ci0idc2o7gr9a1igqw","STRATEGIC","{""shift"":""SIANG"",""weather"":""RAINY"",""truckAvailable"":12,""targetProduction"":7523}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-17","2025-10-15T16:23:42.703Z","cmifyisim000h2o7ghh9vrazl","{""efficiency"":0.8779262043045214,""production"":3362}",53105860.94317522,44629760.52792147,18.99203651328332,"Good recommendation, implemented successfully","2025-11-26T12:04:47.730Z","2025-11-26T12:04:47.730Z"
"cmifyj7cj0ide2o7glujwnr4i","STRATEGIC","{""shift"":""PAGI"",""weather"":""CLOUDY"",""truckAvailable"":18,""targetProduction"":6313}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,18179724.01895922,,,"2025-11-26T12:04:47.732Z","2025-11-26T12:04:47.732Z"
"cmifyj7cl0idg2o7gi7zklbe9","OPERATIONAL","{""shift"":""SIANG"",""weather"":""RAINY"",""truckAvailable"":13,""targetProduction"":6079}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,15645974.57189904,,,"2025-11-26T12:04:47.733Z","2025-11-26T12:04:47.733Z"
"cmifyj7cm0idi2o7ggmtddxk1","STRATEGIC","{""shift"":""SIANG"",""weather"":""CLOUDY"",""truckAvailable"":10,""targetProduction"":7469}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-20","2025-11-15T12:55:41.810Z","cmifyisiq000k2o7g8hw1bhas","{""efficiency"":0.8097360750911413,""production"":7643}",51527407.25450134,49125249.05656184,4.889864670556078,"Good recommendation, implemented successfully","2025-11-26T12:04:47.734Z","2025-11-26T12:04:47.734Z"
"cmifyj7cn0idk2o7giasdr6v9","OPERATIONAL","{""shift"":""SIANG"",""weather"":""RAINY"",""truckAvailable"":6,""targetProduction"":3278}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,27567612.95274166,,,"2025-11-26T12:04:47.736Z","2025-11-26T12:04:47.736Z"
"cmifyj7cp0idm2o7g6f18z14k","MAINTENANCE","{""shift"":""PAGI"",""weather"":""SUNNY"",""truckAvailable"":5,""targetProduction"":4889}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-22","2025-10-14T20:52:43.701Z","cmifyisis000m2o7g500r7bb4","{""efficiency"":0.8158963277224496,""production"":7079}",27302785.86548446,23839880.52203547,14.525682459894,,"2025-11-26T12:04:47.738Z","2025-11-26T12:04:47.738Z"
"cmifyj7cr0ido2o7g3elu6n3q","STRATEGIC","{""shift"":""PAGI"",""weather"":""CLOUDY"",""truckAvailable"":16,""targetProduction"":7446}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,26698538.90742975,,,"2025-11-26T12:04:47.739Z","2025-11-26T12:04:47.739Z"
"cmifyj7cs0idq2o7gpvsu0msk","MAINTENANCE","{""shift"":""SIANG"",""weather"":""RAINY"",""truckAvailable"":11,""targetProduction"":6984}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-24","2025-11-21T04:42:25.474Z","cmifyisiv000o2o7g34nc6ac7","{""efficiency"":0.8405442430259196,""production"":3283}",8376742.631948092,7467387.19085825,12.17769238219086,,"2025-11-26T12:04:47.741Z","2025-11-26T12:04:47.741Z"
"cmifyj7cu0ids2o7g046xemc9","OPERATIONAL","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":13,""targetProduction"":4946}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-25","2025-10-11T19:20:58.186Z","cmifyisiw000p2o7gntjdpjoz","{""efficiency"":0.9340812593924412,""production"":3746}",46038190.47689205,48783144.5219316,-5.626849338925863,"Good recommendation, implemented successfully","2025-11-26T12:04:47.742Z","2025-11-26T12:04:47.742Z"
"cmifyj7cv0idu2o7g9ogvykn1","OPERATIONAL","{""shift"":""MALAM"",""weather"":""CLOUDY"",""truckAvailable"":19,""targetProduction"":7458}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-26","2025-10-30T14:18:01.009Z","cmifyisiy000q2o7g35ilcptt","{""efficiency"":0.8126568504942561,""production"":5205}",11163791.29103281,10654445.8878376,4.780590267736406,,"2025-11-26T12:04:47.743Z","2025-11-26T12:04:47.743Z"
"cmifyj7cx0idw2o7ghe0wy0zi","STRATEGIC","{""shift"":""PAGI"",""weather"":""RAINY"",""truckAvailable"":6,""targetProduction"":3429}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-27","2025-10-18T17:38:20.540Z","cmifyisiz000r2o7gkp2680xi","{""efficiency"":0.9212807526206677,""production"":5539}",12234598.48243088,10769111.19667832,13.60824731946848,"Good recommendation, implemented successfully","2025-11-26T12:04:47.745Z","2025-11-26T12:04:47.745Z"
"cmifyj7cy0idy2o7g1l88i8e9","MAINTENANCE","{""shift"":""PAGI"",""weather"":""SUNNY"",""truckAvailable"":11,""targetProduction"":5203}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,44231610.00290613,,,"2025-11-26T12:04:47.746Z","2025-11-26T12:04:47.746Z"
"cmifyj7cz0ie02o7g6h7gij37","MAINTENANCE","{""shift"":""SIANG"",""weather"":""SUNNY"",""truckAvailable"":18,""targetProduction"":7696}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,13922884.8570025,,,"2025-11-26T12:04:47.748Z","2025-11-26T12:04:47.748Z"
"cmifyj7d10ie22o7gl9zgh530","MAINTENANCE","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":9,""targetProduction"":3904}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,15181267.74755067,,,"2025-11-26T12:04:47.749Z","2025-11-26T12:04:47.749Z"
"cmifyj7d20ie42o7gg08shep9","OPERATIONAL","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":6,""targetProduction"":7585}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-31","2025-11-09T06:20:25.259Z","cmifyisj4000v2o7g86qb5qnh","{""efficiency"":0.8610386471761305,""production"":5072}",16767325.28956749,15153948.91286682,10.64657394569144,"Good recommendation, implemented successfully","2025-11-26T12:04:47.751Z","2025-11-26T12:04:47.751Z"
"cmifyj7d40ie62o7g1jt3ednu","STRATEGIC","{""shift"":""MALAM"",""weather"":""CLOUDY"",""truckAvailable"":11,""targetProduction"":6211}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-32","2025-11-16T05:34:55.629Z","cmifyisj5000w2o7gmy5ml8lx","{""efficiency"":0.941926888007588,""production"":6188}",16034168.87194211,17189518.71340257,-6.721246014640545,"Good recommendation, implemented successfully","2025-11-26T12:04:47.752Z","2025-11-26T12:04:47.752Z"
"cmifyj7d50ie82o7gu43kwhl5","OPERATIONAL","{""shift"":""SIANG"",""weather"":""RAINY"",""truckAvailable"":12,""targetProduction"":3231}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,42767128.75067858,,,"2025-11-26T12:04:47.754Z","2025-11-26T12:04:47.754Z"
"cmifyj7d70iea2o7gfndw7rdk","STRATEGIC","{""shift"":""SIANG"",""weather"":""RAINY"",""truckAvailable"":14,""targetProduction"":3299}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-34","2025-10-03T10:07:54.465Z","cmifyisj8000y2o7g5r7dbeu4","{""efficiency"":0.8143400359722158,""production"":5929}",45457553.26783854,54262666.57643387,-16.22683488322959,,"2025-11-26T12:04:47.755Z","2025-11-26T12:04:47.755Z"
"cmifyj7d80iec2o7ga47o5uo0","OPERATIONAL","{""shift"":""MALAM"",""weather"":""RAINY"",""truckAvailable"":5,""targetProduction"":6744}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-35","2025-10-07T03:02:36.457Z","cmifyisj9000z2o7gd9vsrro1","{""efficiency"":0.9315578557103231,""production"":5621}",50046848.85755157,44433812.25033633,12.63235433320884,,"2025-11-26T12:04:47.757Z","2025-11-26T12:04:47.757Z"
"cmifyj7da0iee2o7gfuxm5y24","STRATEGIC","{""shift"":""MALAM"",""weather"":""RAINY"",""truckAvailable"":9,""targetProduction"":5553}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-36","2025-11-13T19:27:44.921Z","cmifyisja00102o7gnn9fxe5k","{""efficiency"":0.8487697529713264,""production"":4678}",28938288.08793721,32839395.23236949,-11.8793513608527,,"2025-11-26T12:04:47.758Z","2025-11-26T12:04:47.758Z"
"cmifyj7db0ieg2o7g20w8ukta","STRATEGIC","{""shift"":""MALAM"",""weather"":""RAINY"",""truckAvailable"":10,""targetProduction"":4189}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-37","2025-10-07T11:44:49.410Z","cmifyisjb00112o7gwq8ew4fj","{""efficiency"":0.8199560272701665,""production"":6306}",33466471.48596958,29745073.23097855,12.51097358575441,"Good recommendation, implemented successfully","2025-11-26T12:04:47.760Z","2025-11-26T12:04:47.760Z"
"cmifyj7dd0iei2o7gpqivr3n3","OPERATIONAL","{""shift"":""PAGI"",""weather"":""CLOUDY"",""truckAvailable"":11,""targetProduction"":7281}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-38","2025-11-05T15:28:51.701Z","cmifyisjd00122o7ghq3cvyse","{""efficiency"":0.8599241164033389,""production"":3769}",20496561.7058361,19450144.47766265,5.379997199379134,,"2025-11-26T12:04:47.761Z","2025-11-26T12:04:47.761Z"
"cmifyj7de0iek2o7gzitcbpxh","MAINTENANCE","{""shift"":""SIANG"",""weather"":""SUNNY"",""truckAvailable"":9,""targetProduction"":7924}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-39","2025-10-18T19:37:09.214Z","cmifyisje00132o7genqfoyjz","{""efficiency"":0.8397826095900893,""production"":6894}",53656584.77078052,49958590.51507793,7.402118869999959,"Good recommendation, implemented successfully","2025-11-26T12:04:47.763Z","2025-11-26T12:04:47.763Z"
"cmifyj7dg0iem2o7g9pk1znyv","OPERATIONAL","{""shift"":""PAGI"",""weather"":""SUNNY"",""truckAvailable"":17,""targetProduction"":6802}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-40","2025-11-26T22:08:08.802Z","cmifyisjg00142o7g18l6bj5d","{""efficiency"":0.8447574067684619,""production"":6099}",15942882.49856756,14724013.83778886,8.278100484057532,,"2025-11-26T12:04:47.764Z","2025-11-26T12:04:47.764Z"
"cmifyj7dh0ieo2o7glxkxkn5r","OPERATIONAL","{""shift"":""MALAM"",""weather"":""RAINY"",""truckAvailable"":15,""targetProduction"":4789}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-41","2025-11-27T06:43:45.674Z","cmifyisjh00152o7gh1v8vhhw","{""efficiency"":0.94088824792924,""production"":7164}",8086250.102409021,7874962.872918896,2.683025087225712,,"2025-11-26T12:04:47.766Z","2025-11-26T12:04:47.766Z"
"cmifyj7dj0ieq2o7gplky2732","STRATEGIC","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":18,""targetProduction"":7367}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-42","2025-10-05T07:23:11.375Z","cmifyisji00162o7g1h9k4uoa","{""efficiency"":0.8086461759310595,""production"":5003}",10226776.05407586,11774062.72347778,-13.14148485311358,,"2025-11-26T12:04:47.767Z","2025-11-26T12:04:47.767Z"
"cmifyj7dk0ies2o7g5a5b133c","STRATEGIC","{""shift"":""SIANG"",""weather"":""SUNNY"",""truckAvailable"":11,""targetProduction"":4274}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-43","2025-10-23T07:46:02.987Z","cmifyisjk00172o7gb8ar2d7a","{""efficiency"":0.8951252267184255,""production"":6748}",27149304.03069122,28854717.48529953,-5.910345355060763,"Good recommendation, implemented successfully","2025-11-26T12:04:47.769Z","2025-11-26T12:04:47.769Z"
"cmifyj7dm0ieu2o7gzz84mpeh","STRATEGIC","{""shift"":""SIANG"",""weather"":""SUNNY"",""truckAvailable"":5,""targetProduction"":4852}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-44","2025-10-03T14:37:05.100Z","cmifyisjm00182o7gghgii84v","{""efficiency"":0.9439132746150507,""production"":7053}",44781353.01147371,41773262.85954104,7.20099399955209,"Good recommendation, implemented successfully","2025-11-26T12:04:47.770Z","2025-11-26T12:04:47.770Z"
"cmifyj7do0iew2o7gksigiowl","MAINTENANCE","{""shift"":""PAGI"",""weather"":""CLOUDY"",""truckAvailable"":6,""targetProduction"":5060}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,29350966.26383732,,,"2025-11-26T12:04:47.772Z","2025-11-26T12:04:47.772Z"
"cmifyj7dp0iey2o7gplbafb3s","MAINTENANCE","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":13,""targetProduction"":7739}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-46","2025-11-03T04:04:57.014Z","cmifyisjo001a2o7g7nzyhgcl","{""efficiency"":0.850067918212593,""production"":7639}",45810809.77173327,47665756.9193898,-3.891571785576665,,"2025-11-26T12:04:47.774Z","2025-11-26T12:04:47.774Z"
"cmifyj7dr0if02o7gisv92p4u","OPERATIONAL","{""shift"":""PAGI"",""weather"":""CLOUDY"",""truckAvailable"":12,""targetProduction"":7692}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-47","2025-10-06T11:42:24.437Z","cmifyisjp001b2o7g5ytpwhig","{""efficiency"":0.8223238763236566,""production"":5485}",48123859.57996666,46509282.54388958,3.471515679807463,,"2025-11-26T12:04:47.775Z","2025-11-26T12:04:47.775Z"
